1;0.05
2;0.075
3;0.1
4;0.125
5;0.15
6;0.175
7;0.2
8;0.225
9;0.25
10;0.275
11;0.3
12;0.325
13;0.35
14;0.375
15;0.4
16;0.425
17;0.45
18;0.475
19;0.5
20;0.525
21;0.55
22;0.575
23;0.6
24;0.625
25;0.65
26;0.675
27;0.7
28;0.725
29;0.75
30;0.775
31;0.8
32;0.825
33;0.85
34;0.875
35;0.9
36;0.925
37;0.95
38;0.975
39;1
40;1.025
41;1.05
42;1.075
43;1.1
44;1.125
45;1.15
46;1.175
47;1.2
48;1.225
49;1.25
50;1.275
51;1.3
52;1.325
53;1.35
54;1.375
55;1.4
56;1.425
57;1.45
58;1.475
59;1.5
60;1.525
61;1.55
62;1.575
63;1.6
64;1.625
65;1.65
66;1.675
67;1.7
68;1.725
69;1.75
70;1.775
71;1.8
72;1.825
73;1.85
74;1.875
75;1.9
76;1.925
77;1.95
78;1.975
79;2
80;2.025
81;2.05
82;2.075
83;2.1
84;2.125
85;2.15
86;2.175
87;2.2
88;2.225
89;2.25
90;2.275
91;2.3
92;2.325
93;2.35
94;2.375
95;2.4
96;2.425
97;2.45
98;2.475
99;2.5
100;2.525
101;2.55
102;2.575
103;2.6
104;2.625
105;2.65
106;2.675
107;2.7
108;2.725
109;2.75
110;2.775
111;2.8
112;2.825
113;2.85
114;2.875
115;2.9
116;2.925
117;2.95
118;2.975
119;3
120;3.025
121;3.05
122;3.075
123;3.1
124;3.125
125;3.15
126;3.175
127;3.2
128;3.225
129;3.25
130;3.275
131;3.3
132;3.325
133;3.35
134;3.375
135;3.4
136;3.425
137;3.45
138;3.475
139;3.5
140;3.525
141;3.55
142;3.575
143;3.6
144;3.625
145;3.65
146;3.675
147;3.7
148;3.725
149;3.75
150;3.775
151;3.8
152;3.825
153;3.85
154;3.875
155;3.9
156;3.925
157;3.95
158;3.975
159;4
